Placement,identifying number,M / F,Athlete,Sport,SSS,AES,Transfer,Continuing,Prev. E&D Instructor,Section #'s can't be placed into (due to prev professor),Choice 1,Choice 2,Choice 3,Choice 4,Choice 5,Choice 6
,3569,M,Y,MTF,,,,,,,106-01,106-14,106-21,106-15,106-13,106-22
,4732,M, ,,,,,,,,106-17,106-07,106-26,106-04,106-08,106-18
,607,F, ,,,,,,,,106-15,106-06,106-05,106-35,106-02,106-36
,3563,M,Y,MCC,,,,,,,106-15,106-01,106-05,106-36,106-03,106-18
,1025,M, ,,,,,,,,106-15,106-01,106-30,106-11,106-35,106-20
,1222,F, ,,,,,,,,106-17,106-31,106-32,106-27,106-26,
,26,F,,,,,,,,,106-06,106-14,106-29,106-27,106-19,106-15
,46,F, ,,,,,,,,106-01,106-31,106-25,106-27,106-03,106-28
,168,F, ,,,,,,,,106-17,106-06,106-27,106-04,106-07,106-31
,3105,F, ,,,,,,,,106-02,106-01,106-36,106-30,106-21,
,1096,F, ,,,,,,,,106-01,106-05,106-03,106-26,106-27,106-29
106-14,3817,M, ,,Y,,,,,,106-29,106-14,106-28,106-22,106-26,106-13
,2389,M,Y,MGO,,,,,,,106-01,106-02,106-36,106-05,106-06,106-12
,2587,M,Y,BB,,,,,,,106-01,106-03,106-04,106-05,106-36,106-02
,2029,F, ,,,,,,,,106-01,106-28,106-32,106-27,106-02,106-31
,2395,M, ,,,,,,,,106-01,106-02,106-36,106-13,106-20,106-30
,2161,F, ,,,,,,,,106-01,106-06,106-15,106-18,106-25,106-19
,3199,F, ,,,,,,,,106-01,106-17,106-14,106-28,106-31,106-02
,3142,F, ,,,,,,,,106-17,106-27,106-07,106-25,106-32,106-31
,3578,F,Y,VB,,,,,,,106-02,106-22,106-28,106-06,106-21,106-12
,1625,F, ,,,,,,,,106-28,106-02,106-06,106-21,106-22,
,3023,F, ,,,,,,,,106-02,106-32,106-21,106-03,106-01,106-28
106-02,1577,F,,,Y,,,,,,106-02,106-31,106-15,106-21,106-13,106-29
,4565,F, ,,,,,,,,106-02,106-22,106-28,106-32,106-31,106-33
,139,F, ,,,,,,,,106-02,106-22,106-15,106-05,106-30,106-27
,4508,M, ,,,,,,,,106-02,106-06,106-36,106-08,106-19,106-25
,685,M, ,,,,,,,,106-02,106-25,106-03,106-05,106-35,106-36
,2536,M,,,,,,,,,106-02,106-06,106-05,106-36,106-07,106-04
,741,F, ,,,,,,,,106-15,106-11,106-02,106-28,106-26,106-02
